Участники гражданского оборота,Тип операции,Сумма операции,Вид расчета,Место оплаты,Терминал оплаты,Дата оплаты,Время оплаты,Результат операции,Cash-back,Сумма cash-back
юр. лицо,списание средств,514.89,наличный,Минск,Беларусбанк-PMUL-493,13-06-2007,08:36:54,недостаточно средств,да,10.85
физ. лицо,получение средств,2975.97,безналичный,Минск,Белинвестбанк-WQIX-386,08-10-2007,05:30:09,успешно,нет,0.0
физ. лицо,получение средств,404.05,наличный,Минск,Приорбанк-UBAB-187,11-06-2020,23:32:12,успешно,нет,0.0
физ. лицо,списание средств,3995.34,наличный,Минск,Приорбанк-PDWK-937,02-02-2006,19:35:22,недостаточно средств,нет,0.0
физ. лицо,получение средств,4479.38,безналичный,Минск,Беларусбанк-VBBI-318,31-05-2017,03:21:08,успешно,нет,0.0
юр. лицо,списание средств,1216.77,наличный,Минск,Беларусбанк-QYKP-668,11-09-2000,13:05:49,успешно,нет,0.0
юр. лицо,списание средств,2552.84,наличный,Минск,МаксБанк-JOCE-497,26-06-2012,04:05:57,неправильный ввод пин-кода,нет,0.0
физ. лицо,списание средств,544.02,безналичный,Минск,Приорбанк-RHXU-410,09-03-2020,08:19:53,недостаточно средств,да,40.2
физ. лицо,получение средств,155.54,наличный,Минск,БелАгропромбанк-APCP-507,26-02-2003,01:57:54,успешно,нет,0.0
юр. лицо,получение средств,321.13,наличный,Минск,МаксБанк-IEDM-543,05-02-2005,12:40:33,успешно,нет,0.0
физ. лицо,списание средств,4475.03,наличный,Минск,Беларусбанк-PEUF-168,26-10-2003,01:20:45,недостаточно средств,нет,0.0
юр. лицо,списание средств,489.88,безналичный,Минск,БелАгропромбанк-FUCN-602,23-12-2009,07:21:59,неправильный ввод пин-кода,да,24.47
юр. лицо,получение средств,1106.07,безналичный,Минск,Белинвестбанк-XRFX-409,01-08-2021,05:16:37,успешно,нет,0.0
физ. лицо,получение средств,451.63,наличный,Минск,БелАгропромбанк-LYRN-143,10-06-2016,03:27:40,успешно,нет,0.0
физ. лицо,получение средств,1363.24,безналичный,Минск,Беларусбанк-YBGP-570,31-12-2001,04:58:52,успешно,нет,0.0
юр. лицо,списание средств,941.52,наличный,Минск,БелАгропромбанк-SZCL-926,19-10-2019,12:43:55,успешно,нет,0.0
юр. лицо,списание средств,3185.94,безналичный,Минск,Беларусбанк-VQVO-027,20-01-2012,21:44:07,неправильный ввод пин-кода,нет,0.0
физ. лицо,получение средств,793.7,безналичный,Минск,Приорбанк-CHIC-307,18-01-2008,07:11:25,успешно,нет,0.0
физ. лицо,списание средств,886.65,наличный,Минск,БелАгропромбанк-KFCP-220,27-12-2011,15:00:15,успешно,нет,0.0
юр. лицо,получение средств,1248.23,безналичный,Минск,Приорбанк-UZMR-790,24-03-2007,13:06:42,успешно,нет,0.0
юр. лицо,списание средств,2790.2,безналичный,Минск,Приорбанк-JKJS-107,19-07-2010,07:15:49,недостаточно средств,нет,0.0
юр. лицо,получение средств,1572.7,безналичный,Минск,Приорбанк-VHXU-758,12-05-2006,01:27:04,успешно,нет,0.0
юр. лицо,списание средств,4629.32,безналичный,Минск,МаксБанк-TDPG-471,24-02-2013,00:02:23,недостаточно средств,да,280.71
юр. лицо,списание средств,560.34,безналичный,Минск,БелАгропромбанк-TBMC-362,11-04-2014,10:41:08,неправильный ввод пин-кода,нет,0.0
физ. лицо,списание средств,3355.15,безналичный,Минск,Беларусбанк-CLTU-842,27-10-2008,21:51:57,недостаточно средств,да,94.5
физ. лицо,списание средств,2244.35,наличный,Минск,БелАгропромбанк-SNLS-854,03-06-2007,09:48:48,неправильный ввод пин-кода,нет,0.0
юр. лицо,получение средств,4621.58,безналичный,Минск,БелАгропромбанк-SRSS-862,06-11-2005,14:08:22,успешно,нет,0.0
физ. лицо,получение средств,3488.96,наличный,Минск,БелАгропромбанк-TULD-343,26-10-2018,14:20:51,успешно,нет,0.0
физ. лицо,списание средств,3206.75,наличный,Минск,МаксБанк-QZBX-561,29-08-2017,17:34:25,недостаточно средств,нет,0.0
юр. лицо,списание средств,4940.32,безналичный,Минск,Приорбанк-BMZR-041,17-08-2016,17:06:47,успешно,нет,0.0
физ. лицо,списание средств,3904.94,наличный,Минск,БелАгропромбанк-PZYM-777,25-03-2001,05:13:33,успешно,да,319.88
юр. лицо,получение средств,2679.68,безналичный,Минск,БелАгропромбанк-IVBN-618,26-02-2015,20:20:33,успешно,нет,0.0
юр. лицо,списание средств,4141.9,наличный,Минск,Белинвестбанк-ZXLA-624,21-09-2023,15:08:17,недостаточно средств,да,388.69
физ. лицо,получение средств,3422.0,наличный,Минск,Белинвестбанк-HNHU-500,22-11-2017,10:04:26,успешно,нет,0.0
юр. лицо,списание средств,2351.93,безналичный,Минск,БелАгропромбанк-XHNM-807,03-01-2016,14:36:44,недостаточно средств,нет,0.0
юр. лицо,списание средств,2621.72,безналичный,Минск,Беларусбанк-HMJS-452,14-07-2000,12:21:47,неправильный ввод пин-кода,да,37.54
физ. лицо,получение средств,3880.19,безналичный,Минск,БелАгропромбанк-PPUE-460,25-03-2020,00:05:45,успешно,нет,0.0
физ. лицо,получение средств,4641.34,безналичный,Минск,Приорбанк-RRWI-702,12-12-2002,07:07:57,успешно,нет,0.0
физ. лицо,списание средств,1797.53,наличный,Минск,Приорбанк-PVEL-764,14-06-2018,15:16:15,успешно,да,113.32
юр. лицо,получение средств,1498.45,безналичный,Минск,Приорбанк-VNSW-800,14-01-2014,15:56:24,успешно,нет,0.0
юр. лицо,списание средств,4261.76,наличный,Минск,Беларусбанк-CPFO-679,21-04-2010,12:52:29,неправильный ввод пин-кода,нет,0.0
юр. лицо,получение средств,3538.49,безналичный,Минск,МаксБанк-QQVF-034,20-08-2003,08:56:18,успешно,нет,0.0
юр. лицо,списание средств,4905.99,безналичный,Минск,Приорбанк-VRYM-249,10-06-2023,09:16:48,неправильный ввод пин-кода,нет,0.0
юр. лицо,списание средств,71.52,безналичный,Минск,Белинвестбанк-MQJM-861,01-04-2016,06:30:30,неправильный ввод пин-кода,нет,0.0
физ. лицо,списание средств,1503.67,наличный,Минск,Белинвестбанк-YOSE-465,16-12-2024,22:51:46,недостаточно средств,нет,0.0
физ. лицо,списание средств,4364.37,наличный,Минск,БелАгропромбанк-GVJF-192,12-10-2000,15:41:07,успешно,да,376.94
